0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
1,-0.182142857143,-0.201092896175,-0.217446043165,-0.232051282051,-0.2454238921,-0.257894736842,-0.269685990338,-0.280952380952,-0.291804979253,-0.302325581395,-0.312575757576,-0.322602739726,-0.332443365696,-0.342126789366,-0.35167638484,-0.361111111111,-0.370446507515,-0.379695431472,-0.388868613139,-0.397975077882,-0.40702247191,-0.416017316017,-0.424965205289,-0.433870967742,-0.442738791423,-0.451572327044,-0.460374771481,-0.46914893617,-0.4778973035,-0.486622073579,-0.495325203252,-0.504008438819,-0.512673343606,-0.521321321321,-0.52995363592,-0.538571428571,-0.547175732218,-0.555767484105,-0.564347536618,-0.572916666667,-0.581475583864,-0.590024937656,-0.598565323565,-0.607097288676,-0.61562133646,-0.624137931034,-0.632647500939,-0.641150442478,-0.649647122693,-0.658137882018,-0.666623036649,-0.675102880658,-0.6835776879,-0.692047713718,-0.700513196481,-0.708974358974,-0.71743140965,-0.725884543762,-0.734333944394,-0.742779783394,
2,-0.182142857143,-0.192759562842,-0.209112709832,-0.223717948718,-0.237090558767,-0.249561403509,-0.261352657005,-0.272619047619,-0.28347164592,-0.293992248062,-0.304242424242,-0.314269406393,-0.324110032362,-0.333793456033,-0.343343051506,-0.352777777778,-0.362113174182,-0.371362098139,-0.380535279805,-0.389641744548,-0.398689138577,-0.407683982684,-0.416631871955,-0.425537634409,-0.43440545809,-0.443238993711,-0.452041438147,-0.460815602837,-0.469563970166,-0.478288740245,-0.486991869919,-0.495675105485,-0.504340010272,-0.512987987988,-0.521620302587,-0.530238095238,-0.538842398884,-0.547434150772,-0.556014203285,-0.564583333333,-0.573142250531,-0.581691604323,-0.590231990232,-0.598763955343,-0.607288003126,-0.615804597701,-0.624314167606,-0.632817109145,-0.641313789359,-0.649804548685,-0.658289703316,-0.666769547325,-0.675244354567,-0.683714380384,-0.692179863148,-0.700641025641,-0.709098076317,-0.717551210428,-0.72600061106,-0.73444645006,
3,-0.182142857143,-0.192759562842,-0.200779376499,-0.215384615385,-0.228757225434,-0.241228070175,-0.253019323671,-0.264285714286,-0.275138312586,-0.285658914729,-0.295909090909,-0.305936073059,-0.315776699029,-0.325460122699,-0.335009718173,-0.344444444444,-0.353779840849,-0.363028764805,-0.372201946472,-0.381308411215,-0.390355805243,-0.399350649351,-0.408298538622,-0.417204301075,-0.426072124756,-0.434905660377,-0.443708104814,-0.452482269504,-0.461230636833,-0.469955406912,-0.478658536585,-0.487341772152,-0.496006676939,-0.504654654655,-0.513286969253,-0.521904761905,-0.530509065551,-0.539100817439,-0.547680869951,-0.55625,-0.564808917197,-0.573358270989,-0.581898656899,-0.59043062201,-0.598954669793,-0.607471264368,-0.615980834273,-0.624483775811,-0.632980456026,-0.641471215352,-0.649956369983,-0.658436213992,-0.666911021234,-0.675381047051,-0.683846529814,-0.692307692308,-0.700764742983,-0.709217877095,-0.717667277727,-0.726113116727,
4,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.2204238921,-0.232894736842,-0.244685990338,-0.255952380952,-0.266804979253,-0.277325581395,-0.287575757576,-0.297602739726,-0.307443365696,-0.317126789366,-0.32667638484,-0.336111111111,-0.345446507515,-0.354695431472,-0.363868613139,-0.372975077882,-0.38202247191,-0.391017316017,-0.399965205289,-0.408870967742,-0.417738791423,-0.426572327044,-0.435374771481,-0.44414893617,-0.4528973035,-0.461622073579,-0.470325203252,-0.479008438819,-0.487673343606,-0.496321321321,-0.50495363592,-0.513571428571,-0.522175732218,-0.530767484105,-0.539347536618,-0.547916666667,-0.556475583864,-0.565024937656,-0.573565323565,-0.582097288676,-0.59062133646,-0.599137931034,-0.607647500939,-0.616150442478,-0.624647122693,-0.633137882018,-0.641623036649,-0.650102880658,-0.6585776879,-0.667047713718,-0.675513196481,-0.683974358974,-0.69243140965,-0.700884543762,-0.709333944394,-0.717779783394,
5,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.224561403509,-0.236352657005,-0.247619047619,-0.25847164592,-0.268992248062,-0.279242424242,-0.289269406393,-0.299110032362,-0.308793456033,-0.318343051506,-0.327777777778,-0.337113174182,-0.346362098139,-0.355535279805,-0.364641744548,-0.373689138577,-0.382683982684,-0.391631871955,-0.400537634409,-0.40940545809,-0.418238993711,-0.427041438147,-0.435815602837,-0.444563970166,-0.453288740245,-0.461991869919,-0.470675105485,-0.479340010272,-0.487987987988,-0.496620302587,-0.505238095238,-0.513842398884,-0.522434150772,-0.531014203285,-0.539583333333,-0.548142250531,-0.556691604323,-0.565231990232,-0.573763955343,-0.582288003126,-0.590804597701,-0.599314167606,-0.607817109145,-0.616313789359,-0.624804548685,-0.633289703316,-0.641769547325,-0.650244354567,-0.658714380384,-0.667179863148,-0.675641025641,-0.684098076317,-0.692551210428,-0.70100061106,-0.70944645006,
6,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.216228070175,-0.228019323671,-0.239285714286,-0.250138312586,-0.260658914729,-0.270909090909,-0.280936073059,-0.290776699029,-0.300460122699,-0.310009718173,-0.319444444444,-0.328779840849,-0.338028764805,-0.347201946472,-0.356308411215,-0.365355805243,-0.374350649351,-0.383298538622,-0.392204301075,-0.401072124756,-0.409905660377,-0.418708104814,-0.427482269504,-0.436230636833,-0.444955406912,-0.453658536585,-0.462341772152,-0.471006676939,-0.479654654655,-0.488286969253,-0.496904761905,-0.505509065551,-0.514100817439,-0.522680869951,-0.53125,-0.539808917197,-0.548358270989,-0.556898656899,-0.56543062201,-0.573954669793,-0.582471264368,-0.590980834273,-0.599483775811,-0.607980456026,-0.616471215352,-0.624956369983,-0.633436213992,-0.641911021234,-0.650381047051,-0.658846529814,-0.667307692308,-0.675764742983,-0.684217877095,-0.692667277727,-0.701113116727,
7,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.216228070175,-0.219685990338,-0.230952380952,-0.241804979253,-0.252325581395,-0.262575757576,-0.272602739726,-0.282443365696,-0.292126789366,-0.30167638484,-0.311111111111,-0.320446507515,-0.329695431472,-0.338868613139,-0.347975077882,-0.35702247191,-0.366017316017,-0.374965205289,-0.383870967742,-0.392738791423,-0.401572327044,-0.410374771481,-0.41914893617,-0.4278973035,-0.436622073579,-0.445325203252,-0.454008438819,-0.462673343606,-0.471321321321,-0.47995363592,-0.488571428571,-0.497175732218,-0.505767484105,-0.514347536618,-0.522916666667,-0.531475583864,-0.540024937656,-0.548565323565,-0.557097288676,-0.56562133646,-0.574137931034,-0.582647500939,-0.591150442478,-0.599647122693,-0.608137882018,-0.616623036649,-0.625102880658,-0.6335776879,-0.642047713718,-0.650513196481,-0.658974358974,-0.66743140965,-0.675884543762,-0.684333944394,-0.692779783394,
8,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.216228070175,-0.219685990338,-0.222619047619,-0.23347164592,-0.243992248062,-0.254242424242,-0.264269406393,-0.274110032362,-0.283793456033,-0.293343051506,-0.302777777778,-0.312113174182,-0.321362098139,-0.330535279805,-0.339641744548,-0.348689138577,-0.357683982684,-0.366631871955,-0.375537634409,-0.38440545809,-0.393238993711,-0.402041438147,-0.410815602837,-0.419563970166,-0.428288740245,-0.436991869919,-0.445675105485,-0.454340010272,-0.462987987988,-0.471620302587,-0.480238095238,-0.488842398884,-0.497434150772,-0.506014203285,-0.514583333333,-0.523142250531,-0.531691604323,-0.540231990232,-0.548763955343,-0.557288003126,-0.565804597701,-0.574314167606,-0.582817109145,-0.591313789359,-0.599804548685,-0.608289703316,-0.616769547325,-0.625244354567,-0.633714380384,-0.642179863148,-0.650641025641,-0.659098076317,-0.667551210428,-0.67600061106,-0.68444645006,
9,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.216228070175,-0.219685990338,-0.222619047619,-0.225138312586,-0.235658914729,-0.245909090909,-0.255936073059,-0.265776699029,-0.275460122699,-0.285009718173,-0.294444444444,-0.303779840849,-0.313028764805,-0.322201946472,-0.331308411215,-0.340355805243,-0.349350649351,-0.358298538622,-0.367204301075,-0.376072124756,-0.384905660377,-0.393708104814,-0.402482269504,-0.411230636833,-0.419955406912,-0.428658536585,-0.437341772152,-0.446006676939,-0.454654654655,-0.463286969253,-0.471904761905,-0.480509065551,-0.489100817439,-0.497680869951,-0.50625,-0.514808917197,-0.523358270989,-0.531898656899,-0.54043062201,-0.548954669793,-0.557471264368,-0.565980834273,-0.574483775811,-0.582980456026,-0.591471215352,-0.599956369983,-0.608436213992,-0.616911021234,-0.625381047051,-0.633846529814,-0.642307692308,-0.650764742983,-0.659217877095,-0.667667277727,-0.676113116727,
10,-0.182142857143,-0.192759562842,-0.200779376499,-0.207051282051,-0.212090558767,-0.216228070175,-0.219685990338,-0.222619047619,-0.225138312586,-0.227325581395,-0.237575757576,-0.247602739726,-0.257443365696,-0.267126789366,-0.27667638484,-0.286111111111,-0.295446507515,-0.304695431472,-0.313868613139,-0.322975077882,-0.33202247191,-0.341017316017,-0.349965205289,-0.358870967742,-0.367738791423,-0.376572327044,-0.385374771481,-0.39414893617,-0.4028973035,-0.411622073579,-0.420325203252,-0.429008438819,-0.437673343606,-0.446321321321,-0.45495363592,-0.463571428571,-0.472175732218,-0.480767484105,-0.489347536618,-0.497916666667,-0.506475583864,-0.515024937656,-0.523565323565,-0.532097288676,-0.54062133646,-0.549137931034,-0.557647500939,-0.566150442478,-0.574647122693,-0.583137882018,-0.591623036649,-0.600102880658,-0.6085776879,-0.617047713718,-0.625513196481,-0.633974358974,-0.64243140965,-0.650884543762,-0.659333944394,-0.667779783394,
